name,primaryLanguage,languages,url,stargazers,watchers,forks,diskUsage
pattern,{'name': 'Python'},{'totalCount': 3},https://github.com/clips/pattern,{'totalCount': 7422},{'totalCount': 565},{'totalCount': 1392},52330
tpot,{'name': 'Python'},{'totalCount': 3},https://github.com/EpistasisLab/tpot,{'totalCount': 7077},{'totalCount': 303},{'totalCount': 1214},12004
vowpal_wabbit,{'name': 'C++'},{'totalCount': 19},https://github.com/VowpalWabbit/vowpal_wabbit,{'totalCount': 7064},{'totalCount': 400},{'totalCount': 1568},127594
autokeras,{'name': 'Python'},{'totalCount': 4},https://github.com/keras-team/autokeras,{'totalCount': 7061},{'totalCount': 307},{'totalCount': 1142},40365
mediapipe,{'name': 'C++'},{'totalCount': 12},https://github.com/google/mediapipe,{'totalCount': 7028},{'totalCount': 320},{'totalCount': 1282},238708
machinelearning,{'name': 'C#'},{'totalCount': 10},https://github.com/dotnet/machinelearning,{'totalCount': 6934},{'totalCount': 618},{'totalCount': 1465},54201
mlcourse.ai,{'name': 'Python'},{'totalCount': 4},https://github.com/Yorko/mlcourse.ai,{'totalCount': 6911},{'totalCount': 588},{'totalCount': 4448},656236
pysc2,{'name': 'Python'},{'totalCount': 1},https://github.com/deepmind/pysc2,{'totalCount': 6869},{'totalCount': 389},{'totalCount': 1015},1271
ludwig,{'name': 'Python'},{'totalCount': 5},https://github.com/uber/ludwig,{'totalCount': 6717},{'totalCount': 182},{'totalCount': 750},13670
mlflow,{'name': 'Python'},{'totalCount': 11},https://github.com/mlflow/mlflow,{'totalCount': 6567},{'totalCount': 250},{'totalCount': 1394},30871
machine-learning-course,{'name': 'Python'},{'totalCount': 3},https://github.com/machinelearningmindset/machine-learning-course,{'totalCount': 6399},{'totalCount': 290},{'totalCount': 1112},14145
abu,{'name': 'Python'},{'totalCount': 2},https://github.com/bbfamily/abu,{'totalCount': 6342},{'totalCount': 610},{'totalCount': 2298},98941
vision,{'name': 'Jupyter Notebook'},{'totalCount': 9},https://github.com/pytorch/vision,{'totalCount': 6339},{'totalCount': 262},{'totalCount': 3194},10461
tensorboardX,{'name': 'Python'},{'totalCount': 2},https://github.com/lanpa/tensorboardX,{'totalCount': 6320},{'totalCount': 82},{'totalCount': 691},4040
guess,{'name': 'TypeScript'},{'totalCount': 5},https://github.com/guess-js/guess,{'totalCount': 6293},{'totalCount': 98},{'totalCount': 161},13317
pyro,{'name': 'Jupyter Notebook'},{'totalCount': 8},https://github.com/pyro-ppl/pyro,{'totalCount': 6252},{'totalCount': 219},{'totalCount': 717},59722
nni,{'name': 'Python'},{'totalCount': 9},https://github.com/microsoft/nni,{'totalCount': 6186},{'totalCount': 190},{'totalCount': 802},29700
facets,{'name': 'Jupyter Notebook'},{'totalCount': 6},https://github.com/PAIR-code/facets,{'totalCount': 6182},{'totalCount': 280},{'totalCount': 753},23276
lab,{'name': 'C'},{'totalCount': 14},https://github.com/deepmind/lab,{'totalCount': 6160},{'totalCount': 505},{'totalCount': 1216},459898
machine-learning-yearning-cn,{'name': 'CSS'},{'totalCount': 4},https://github.com/deeplearning-ai/machine-learning-yearning-cn,{'totalCount': 6078},{'totalCount': 355},{'totalCount': 1303},15346
generative-models,{'name': 'Python'},{'totalCount': 1},https://github.com/wiseodd/generative-models,{'totalCount': 6050},{'totalCount': 320},{'totalCount': 1794},114
Interview,{'name': 'Jupyter Notebook'},{'totalCount': 4},https://github.com/apachecn/Interview,{'totalCount': 5997},{'totalCount': 338},{'totalCount': 1759},124340
BossSensor,{'name': 'Python'},{'totalCount': 1},https://github.com/Hironsan/BossSensor,{'totalCount': 5897},{'totalCount': 281},{'totalCount': 1080},29659
angel,{'name': 'Java'},{'totalCount': 8},https://github.com/Angel-ML/angel,{'totalCount': 5831},{'totalCount': 450},{'totalCount': 1431},88832
pytorch-lightning,{'name': 'Python'},{'totalCount': 3},https://github.com/PyTorchLightning/pytorch-lightning,{'totalCount': 5793},{'totalCount': 107},{'totalCount': 629},33347
python-machine-learning-book-2nd-edition,{'name': 'Jupyter Notebook'},{'totalCount': 5},https://github.com/rasbt/python-machine-learning-book-2nd-edition,{'totalCount': 5753},{'totalCount': 371},{'totalCount': 2278},241207
Swift-AI,{'name': 'Swift'},{'totalCount': 1},https://github.com/Swift-AI/Swift-AI,{'totalCount': 5718},{'totalCount': 353},{'totalCount': 534},30117
EasyPR,{'name': 'C++'},{'totalCount': 5},https://github.com/liuruoze/EasyPR,{'totalCount': 5619},{'totalCount': 545},{'totalCount': 2346},195032
argo,{'name': 'Go'},{'totalCount': 9},https://github.com/argoproj/argo,{'totalCount': 5583},{'totalCount': 156},{'totalCount': 898},27615
tensorflow_cookbook,{'name': 'Jupyter Notebook'},{'totalCount': 2},https://github.com/nfmcclure/tensorflow_cookbook,{'totalCount': 5578},{'totalCount': 347},{'totalCount': 2221},19782
SerpentAI,{'name': 'Python'},{'totalCount': 1},https://github.com/SerpentAI/SerpentAI,{'totalCount': 5553},{'totalCount': 303},{'totalCount': 604},3859
darkflow,{'name': 'Python'},{'totalCount': 1},https://github.com/thtrieu/darkflow,{'totalCount': 5528},{'totalCount': 255},{'totalCount': 1879},33768
tensorpack,{'name': 'Python'},{'totalCount': 2},https://github.com/tensorpack/tensorpack,{'totalCount': 5500},{'totalCount': 215},{'totalCount': 1639},8939
swift,{'name': 'Jupyter Notebook'},{'totalCount': 4},https://github.com/tensorflow/swift,{'totalCount': 5492},{'totalCount': 281},{'totalCount': 502},3312
awesome-artificial-intelligence,,{'totalCount': 0},https://github.com/owainlewis/awesome-artificial-intelligence,{'totalCount': 5436},{'totalCount': 574},{'totalCount': 1093},194
chainer,{'name': 'Python'},{'totalCount': 9},https://github.com/chainer/chainer,{'totalCount': 5384},{'totalCount': 305},{'totalCount': 1305},53609
incubator-tvm,{'name': 'Python'},{'totalCount': 18},https://github.com/apache/incubator-tvm,{'totalCount': 5345},{'totalCount': 370},{'totalCount': 1411},27549
albumentations,{'name': 'Python'},{'totalCount': 3},https://github.com/albumentations-team/albumentations,{'totalCount': 5244},{'totalCount': 113},{'totalCount': 675},101323
dvc,{'name': 'Python'},{'totalCount': 5},https://github.com/iterative/dvc,{'totalCount': 5200},{'totalCount': 98},{'totalCount': 454},8898
Reinforcement-learning-with-tensorflow,{'name': 'Python'},{'totalCount': 1},https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow,{'totalCount': 5188},{'totalCount': 271},{'totalCount': 3401},422
